o_orderid,o_hq,o_manuid,o_dealerid,o_carid
113,5,22,188,113
114,5,111,19,114
115,5,15,124,115
116,5,176,126,116
117,5,46,156,117
118,5,75,160,118
119,5,149,155,119
120,5,117,163,120
121,5,123,142,121
122,5,71,86,122
123,5,182,174,123
124,5,19,50,124
125,5,110,123,125
126,5,54,5,126
127,5,70,43,127
128,5,112,86,128
129,5,55,180,129
130,5,127,176,130
131,5,147,132,131
132,5,57,67,132
133,5,170,169,133
134,5,21,85,134
135,5,83,115,135
136,5,164,81,136
137,5,199,170,137
138,5,24,107,138
139,5,2,87,139
140,5,109,148,140
141,5,9,69,141
142,5,32,115,142
143,5,75,83,143
144,5,65,141,144
145,5,189,143,145
146,5,132,19,146
147,5,37,25,147
148,5,182,7,148
149,5,17,66,149
150,5,69,57,150
151,5,189,140,151
152,5,156,67,152
153,5,31,29,153
154,5,94,77,154
155,5,97,47,155
156,5,71,19,156
157,5,143,194,157
158,5,60,104,158
159,5,7,88,159
160,5,122,117,160
161,5,183,124,161
162,5,158,185,162
163,5,170,159,163
164,5,69,55,164
165,5,17,111,165
166,5,107,36,166
167,5,8,86,167
168,5,115,55,168
169,5,20,126,169
170,5,126,156,170
171,5,100,195,171
172,5,156,138,172
173,5,66,171,173
174,5,52,81,174
175,5,45,98,175
176,5,5,200,176
177,5,133,130,177
178,5,105,32,178
179,5,19,72,179
180,5,63,65,180
181,5,124,83,181
182,5,27,122,182
183,5,25,158,183
184,5,170,175,184
185,5,169,102,185
186,5,109,90,186
187,5,100,9,187
188,5,56,13,188
189,5,46,173,189
190,5,25,110,190
191,5,57,28,191
192,5,95,80,192
193,5,178,139,193
194,5,190,132,194
195,5,109,27,195
196,5,142,170,196
197,8,128,98,197
198,8,22,187,198
199,8,140,71,199
200,8,135,58,200
201,8,55,129,201
202,8,36,99,202
203,8,77,66,203
204,8,63,100,204
205,8,152,143,205
206,8,9,103,206
207,8,153,11,207
208,8,175,97,208
209,8,162,13,209
210,8,34,87,210
211,9,49,116,211
212,9,51,197,212
213,9,142,43,213
214,9,141,137,214
215,9,132,102,215
216,9,53,140,216
217,9,3,169,217
218,9,29,135,218
219,9,152,22,219
220,9,22,32,220
221,9,167,141,221
222,9,75,182,222
223,9,79,81,223
224,9,197,28,224
225,6,145,20,225
226,6,69,144,226
227,6,23,38,227
228,6,94,42,228
229,6,166,158,229
230,6,4,118,230
231,6,6,128,231
232,6,10,66,232
233,6,159,80,233
234,6,68,193,234
235,6,147,106,235
236,6,180,75,236
237,6,30,65,237
238,6,156,40,238
239,1,145,100,239
240,1,175,28,240
241,1,64,53,241
242,1,192,128,242
243,1,46,32,243
244,1,68,128,244
245,1,28,33,245
246,1,167,148,246
247,1,131,167,247
248,1,117,90,248
249,1,164,78,249
250,1,183,179,250
251,1,162,25,251
252,1,25,106,252
253,1,99,58,253
254,1,189,180,254
255,1,196,26,255
256,1,82,17,256
257,1,44,58,257
258,1,136,181,258
259,1,85,86,259
260,1,36,29,260
261,1,200,138,261
262,1,55,88,262
263,1,66,100,263
264,1,168,175,264
265,1,130,51,265
266,1,38,51,266
267,1,62,198,267
268,1,24,15,268
269,1,142,89,269
270,1,56,141,270
271,1,119,20,271
272,1,84,14,272
273,1,64,165,273
274,1,85,12,274
275,1,141,113,275
276,1,50,173,276
277,1,188,186,277
278,1,143,50,278
279,1,176,86,279
280,1,58,84,280
281,1,15,34,281
282,1,194,103,282
283,1,182,193,283
284,1,152,26,284
285,1,155,15,285
286,1,31,9,286
287,1,192,99,287
288,1,179,120,288
289,1,67,23,289
290,1,13,161,290
291,1,195,184,291
292,1,115,108,292
293,1,197,17,293
294,1,95,137,294
295,1,130,176,295
296,1,80,178,296
297,1,101,129,297
298,1,156,127,298
299,1,136,90,299
300,1,123,43,300
301,1,102,20,301
302,1,42,116,302
303,1,162,26,303
304,1,165,44,304
305,1,27,36,305
306,1,62,164,306
307,1,115,135,307
308,1,103,54,308
309,1,181,121,309
310,1,163,20,310
311,1,197,8,311
312,1,181,3,312
313,1,69,183,313
314,1,102,120,314
315,1,52,55,315
316,1,2,120,316
317,1,89,138,317
318,1,29,17,318
319,1,172,142,319
320,1,24,85,320
321,5,65,6,321
322,5,43,140,322
323,5,33,39,323
324,5,103,15,324
325,5,154,79,325
326,5,144,48,326
327,5,18,101,327
328,5,102,183,328
329,5,182,119,329
330,5,187,59,330
331,5,109,34,331
332,5,127,152,332
333,5,50,148,333
334,5,121,59,334
335,5,19,44,335
336,5,26,54,336
337,5,113,80,337
338,5,181,76,338
339,5,77,46,339
340,5,125,171,340
341,5,89,41,341
342,5,191,196,342
343,5,183,36,343
344,5,70,101,344
345,5,57,25,345
346,5,142,36,346
347,5,95,60,347
348,5,12,87,348
349,5,74,151,349
350,5,109,34,350
351,5,55,197,351
352,5,51,47,352
353,5,33,101,353
354,5,177,133,354
355,5,172,84,355
356,5,40,40,356
357,5,86,129,357
358,5,177,149,358
359,5,76,32,359
360,5,177,89,360
361,5,151,91,361
362,5,42,52,362
363,5,74,77,363
364,5,157,163,364
365,5,45,127,365
366,5,133,13,366
367,5,22,193,367
368,5,31,166,368
369,5,83,58,369
370,5,119,57,370
371,5,1,131,371
372,5,71,113,372
373,5,120,70,373
374,5,131,13,374
375,5,128,10,375
376,5,113,4,376
377,5,41,100,377
378,5,167,167,378
379,5,65,186,379
380,5,40,70,380
381,5,120,172,381
382,5,75,71,382
383,5,131,151,383
384,5,18,86,384
385,5,36,147,385
386,5,110,196,386
387,5,32,153,387
388,5,124,64,388
389,5,61,160,389
390,5,11,175,390
391,5,141,49,391
392,5,180,110,392
393,5,200,181,393
394,5,34,119,394
395,5,43,200,395
396,5,13,127,396
397,5,119,108,397
398,5,155,194,398
399,5,70,154,399
400,5,157,172,400
401,5,51,131,401
402,5,138,37,402
403,5,105,5,403
404,5,66,28,404
405,5,73,51,405
406,5,150,184,406
407,5,16,139,407
408,5,71,154,408
409,5,187,105,409
410,5,123,96,410
411,5,140,15,411
412,5,188,190,412
413,5,153,178,413
414,5,40,66,414
415,5,61,35,415
416,5,97,40,416
417,5,191,109,417
418,5,71,144,418
419,5,88,7,419
420,5,50,55,420
421,5,87,74,421
422,5,51,175,422
423,5,155,114,423
424,5,115,143,424
425,5,124,41,425
426,5,174,170,426
427,5,170,108,427
428,5,20,179,428
429,5,171,117,429
430,5,157,56,430
431,5,49,195,431
432,5,104,70,432
433,5,94,180,433
434,5,92,14,434
435,5,87,72,435
436,5,176,37,436
437,5,50,186,437
438,5,41,129,438
439,5,62,89,439
440,5,102,111,440
441,5,181,68,441
442,5,176,93,442
443,5,166,39,443
444,5,82,124,444
445,5,135,103,445
446,5,111,73,446
447,5,130,170,447
448,5,8,164,448
449,5,95,120,449
450,5,58,135,450
451,5,131,115,451
452,5,5,6,452
453,5,49,49,453
454,5,84,64,454
455,5,28,78,455
456,5,162,195,456
457,5,163,135,457
458,5,127,151,458
459,5,21,75,459
460,5,138,42,460
461,5,120,86,461
462,5,112,17,462
463,5,117,38,463
464,5,57,50,464
465,5,101,161,465
466,5,96,160,466
467,5,9,21,467
468,5,17,105,468
469,5,14,132,469
470,5,46,63,470
471,5,2,111,471
472,5,32,98,472
473,5,93,179,473
474,5,87,177,474
475,5,157,30,475
476,5,3,131,476
477,5,39,198,477
478,5,114,112,478
479,5,147,162,479
480,5,2,39,480
481,5,109,166,481
482,5,129,90,482
483,5,176,80,483
484,5,105,131,484
485,5,93,155,485
486,5,124,36,486
487,5,154,140,487
488,5,174,56,488
489,2,98,94,489
490,2,5,30,490
491,2,94,24,491
492,2,112,184,492
493,2,99,137,493
494,2,150,23,494
495,2,24,183,495
496,2,93,127,496
497,2,84,122,497
498,2,35,166,498
499,2,25,187,499
500,2,27,153,500
501,2,3,143,501
502,2,123,122,502
503,2,27,31,503
504,2,78,200,504
505,2,98,58,505
506,2,34,27,506
507,2,39,52,507
508,2,63,135,508
509,2,73,37,509
510,2,182,60,510
511,2,199,147,511
512,2,98,137,512
513,2,82,23,513
514,2,137,172,514
515,2,15,115,515
516,2,87,101,516
517,2,63,26,517
518,2,102,19,518
519,2,174,157,519
520,2,25,18,520
521,2,190,109,521
522,2,22,38,522
523,2,189,76,523
524,2,76,18,524
525,2,107,109,525
526,2,162,169,526
527,2,93,79,527
528,2,41,28,528
529,2,127,64,529
530,2,127,49,530
531,2,169,146,531
532,2,178,26,532
533,2,191,60,533
534,2,66,153,534
535,2,182,76,535
536,2,21,12,536
537,2,42,81,537
538,2,92,145,538
539,2,42,130,539
540,2,32,54,540
541,2,151,169,541
542,2,184,1,542
543,2,50,92,543
544,2,163,26,544
545,2,135,41,545
546,2,119,113,546
547,2,31,174,547
548,2,51,139,548
549,2,188,176,549
550,2,17,182,550
551,2,191,2,551
552,2,5,53,552
553,2,175,185,553
554,2,194,155,554
555,2,29,138,555
556,2,9,158,556
557,2,109,138,557
558,2,62,172,558
559,2,42,146,559
560,2,193,128,560
561,2,194,50,561
562,2,138,197,562
563,2,187,172,563
564,2,144,112,564
565,2,195,161,565
566,2,72,137,566
567,2,195,167,567
568,2,24,137,568
569,2,59,156,569
570,2,154,76,570
571,2,151,161,571
572,2,18,174,572
573,2,23,27,573
574,2,3,13,574
575,2,195,137,575
576,2,52,33,576
577,2,89,188,577
578,2,135,187,578
579,2,51,126,579
580,2,47,162,580
581,2,18,167,581
582,2,123,93,582
583,2,34,175,583
584,2,72,32,584
585,2,103,40,585
586,2,87,51,586
587,2,133,140,587
588,2,31,124,588
589,2,179,93,589
590,2,89,88,590
591,2,68,43,591
592,2,62,34,592
593,2,183,169,593
594,2,41,77,594
595,2,16,137,595
596,2,114,4,596
597,2,42,48,597
598,2,165,78,598
599,2,173,46,599
600,2,109,132,600
601,10,41,147,601
602,10,109,62,602
603,10,196,80,603
604,10,198,187,604
605,10,40,83,605
606,10,73,19,606
607,10,161,193,607
608,10,189,153,608
609,10,146,130,609
610,10,151,36,610
611,10,60,185,611
612,10,121,173,612
613,10,9,27,613
614,10,177,123,614
615,10,171,56,615
616,10,141,198,616
617,10,33,51,617
618,10,18,74,618
619,10,133,128,619
620,10,165,95,620
621,10,103,50,621
622,10,167,80,622
623,10,166,194,623
624,10,192,21,624
625,10,34,150,625
626,10,133,178,626
627,10,125,64,627
628,10,64,22,628
629,10,177,192,629
630,10,58,134,630
631,10,138,62,631
632,10,75,108,632
633,10,151,146,633
634,10,65,163,634
635,10,3,79,635
636,10,189,59,636
637,10,184,52,637
638,10,157,82,638
639,10,57,188,639
640,10,3,11,640
641,10,20,171,641
642,10,181,148,642
643,10,152,184,643
644,10,4,97,644
645,10,158,119,645
646,10,129,111,646
647,10,76,22,647
648,10,39,92,648
649,10,177,58,649
650,10,106,85,650
651,10,144,1,651
652,10,136,112,652
653,10,27,28,653
654,10,107,43,654
655,10,112,155,655
656,10,19,117,656
657,10,78,20,657
658,10,192,18,658
659,10,88,133,659
660,10,63,175,660
661,10,124,127,661
662,10,77,196,662
663,10,18,5,663
664,10,74,178,664
665,10,194,2,665
666,10,29,18,666
667,10,185,66,667
668,10,85,171,668
669,10,140,151,669
670,10,181,143,670
671,10,180,161,671
672,10,14,74,672
673,10,114,39,673
674,10,76,185,674
675,10,144,110,675
676,10,51,81,676
677,10,94,60,677
678,10,72,61,678
679,10,42,197,679
680,10,97,123,680
681,10,87,10,681
682,10,173,153,682
683,10,189,107,683
684,10,22,134,684
685,10,156,166,685
686,10,67,66,686
687,10,85,38,687
688,10,177,39,688
689,10,47,18,689
690,10,97,193,690
691,10,27,127,691
692,10,49,179,692
693,10,198,95,693
694,10,128,125,694
695,10,86,190,695
696,10,30,152,696
697,10,32,91,697
698,10,23,57,698
699,10,190,184,699
700,10,128,87,700
701,10,19,1,701
702,10,112,23,702
703,10,64,15,703
704,10,162,105,704
705,10,149,125,705
706,10,155,152,706
707,10,29,72,707
708,10,32,30,708
709,10,9,87,709
710,10,30,109,710
711,10,43,69,711
712,10,200,190,712
713,10,101,66,713
714,10,90,86,714
715,10,65,74,715
716,10,163,142,716
717,10,99,157,717
718,10,58,162,718
719,10,148,182,719
720,10,61,177,720
721,10,126,155,721
722,10,85,77,722
723,10,86,140,723
724,10,38,126,724
725,10,65,134,725
726,10,115,29,726
727,10,48,190,727
728,10,111,89,728
729,10,54,141,729
730,10,69,166,730
731,10,196,173,731
732,10,43,192,732
733,10,131,183,733
734,10,91,65,734
735,10,180,105,735
736,10,198,80,736
737,10,51,167,737
738,10,100,30,738
739,10,89,135,739
740,10,176,199,740
741,10,47,77,741
742,10,7,121,742
743,10,52,143,743
744,10,82,160,744
745,10,38,144,745
746,10,184,27,746
747,10,66,111,747
748,10,111,93,748
749,10,74,124,749
750,10,97,28,750
751,10,170,73,751
752,10,38,31,752
753,10,58,32,753
754,10,64,176,754
755,10,171,129,755
756,10,191,198,756
757,10,155,25,757
758,10,13,1,758
759,10,184,19,759
760,10,55,92,760
761,10,90,110,761
762,10,9,2,762
763,10,55,190,763
764,10,8,166,764
765,10,10,49,765
766,10,18,27,766
767,10,91,90,767
768,10,117,144,768
769,2,72,188,769
770,2,90,48,770
771,2,48,196,771
772,2,59,38,772
773,2,139,13,773
774,2,76,159,774
775,2,2,52,775
776,2,75,183,776
777,2,134,122,777
778,2,80,86,778
779,2,153,136,779
780,2,32,122,780
781,2,151,157,781
782,2,21,70,782
783,2,8,114,783
784,2,99,96,784
785,2,102,92,785
786,2,179,124,786
787,2,129,112,787
788,2,134,32,788
789,2,122,84,789
790,2,183,96,790
791,2,135,168,791
792,2,136,155,792
793,2,183,107,793
794,2,180,152,794
795,2,91,68,795
796,2,92,113,796
797,2,88,168,797
798,2,175,30,798
799,2,52,27,799
800,2,39,25,800
801,2,176,83,801
802,2,187,11,802
803,2,85,112,803
804,2,144,80,804
805,2,88,104,805
806,2,127,182,806
807,2,5,115,807
808,2,102,73,808
809,2,39,83,809
810,2,10,32,810
811,2,174,178,811
812,2,163,199,812
813,2,154,87,813
814,2,134,71,814
815,2,129,53,815
816,2,177,195,816
817,2,34,141,817
818,2,23,140,818
819,2,184,27,819
820,2,119,143,820
821,2,154,5,821
822,2,139,166,822
823,2,146,88,823
824,2,191,63,824
825,2,199,166,825
826,2,141,152,826
827,2,144,37,827
828,2,126,143,828
829,2,18,43,829
830,2,118,150,830
831,2,64,118,831
832,2,147,91,832
833,2,66,58,833
834,2,180,74,834
835,2,88,75,835
836,2,175,83,836
837,2,110,155,837
838,2,59,6,838
839,2,8,148,839
840,2,132,125,840
841,2,57,20,841
842,2,154,31,842
843,2,135,7,843
844,2,111,30,844
845,2,6,121,845
846,2,120,111,846
847,2,91,46,847
848,2,103,70,848
849,2,4,105,849
850,2,99,123,850
851,2,15,29,851
852,2,40,182,852
853,2,138,156,853
854,2,176,143,854
855,2,149,124,855
856,2,90,141,856
857,2,105,74,857
858,2,49,144,858
859,2,65,82,859
860,2,32,1,860
861,2,45,57,861
862,2,200,64,862
863,2,172,105,863
864,2,71,61,864
865,2,65,112,865
866,2,65,170,866
867,2,163,43,867
868,2,17,24,868
869,2,13,179,869
870,2,22,109,870
871,2,116,119,871
872,2,67,190,872
873,2,41,181,873
874,2,49,34,874
875,2,120,31,875
876,2,12,17,876
877,2,133,123,877
878,2,199,139,878
879,2,65,183,879
880,2,15,10,880
881,2,41,43,881
882,2,133,7,882
883,2,96,47,883
884,2,102,60,884
885,2,66,117,885
886,2,27,168,886
887,2,111,96,887
888,2,59,49,888
889,2,75,41,889
890,2,80,197,890
891,2,65,167,891
892,2,7,142,892
893,2,35,84,893
894,2,156,144,894
895,2,19,118,895
896,2,123,169,896
897,2,44,179,897
898,2,188,84,898
899,2,195,14,899
900,2,143,138,900
901,2,38,72,901
902,2,118,92,902
903,2,152,61,903
904,2,98,199,904
905,2,134,71,905
906,2,32,16,906
907,2,62,32,907
908,2,128,53,908
909,2,107,141,909
910,2,130,188,910
911,2,17,58,911
912,2,18,141,912
913,2,4,8,913
914,2,37,162,914
915,2,72,182,915
916,2,136,110,916
917,2,99,76,917
918,2,192,176,918
919,2,15,137,919
920,2,51,29,920
921,2,67,29,921
922,2,109,64,922
923,2,104,91,923
924,2,146,65,924
925,2,144,143,925
926,2,134,4,926
927,2,49,171,927
928,2,180,168,928
929,2,7,113,929
930,2,31,181,930
931,2,50,157,931
932,2,180,11,932
933,2,145,128,933
934,2,135,183,934
935,2,71,27,935
936,2,97,133,936
937,6,158,99,937
938,6,147,62,938
939,6,163,156,939
940,6,104,185,940
941,6,150,190,941
942,6,70,49,942
943,6,130,190,943
944,6,94,162,944
945,6,195,164,945
946,6,122,41,946
947,6,198,164,947
948,6,162,108,948
949,6,78,74,949
950,6,101,128,950
951,6,104,174,951
952,6,168,8,952
953,6,33,122,953
954,6,32,199,954
955,6,144,10,955
956,6,119,88,956
957,6,144,103,957
958,6,177,91,958
959,6,155,106,959
960,6,18,196,960
961,6,113,122,961
962,6,50,182,962
963,6,39,187,963
964,6,98,123,964
965,6,148,6,965
966,6,149,195,966
967,6,24,102,967
968,6,64,49,968
969,6,65,83,969
970,6,87,111,970
971,6,165,159,971
972,6,72,112,972
973,6,78,84,973
974,6,80,187,974
975,6,86,96,975
976,6,62,127,976
977,6,5,138,977
978,6,161,87,978
979,6,16,52,979
980,6,8,133,980
981,6,86,94,981
982,6,136,91,982
983,6,167,63,983
984,6,134,141,984
985,6,190,154,985
986,6,143,21,986
987,6,38,197,987
988,6,105,181,988
989,6,195,42,989
990,6,153,134,990
991,6,185,195,991
992,6,100,83,992
993,6,163,60,993
994,6,161,187,994
995,6,23,196,995
996,6,48,35,996
997,6,100,149,997
998,6,166,134,998
999,6,77,59,999
1000,6,28,150,1000
1001,6,18,190,1001
1002,6,1,139,1002
1003,6,71,87,1003
1004,6,2,143,1004
1005,6,101,113,1005
1006,6,81,117,1006
1007,6,185,10,1007
1008,6,187,83,1008
1009,6,26,43,1009
1010,6,99,79,1010
1011,6,96,187,1011
1012,6,173,90,1012
1013,6,56,9,1013
1014,6,98,174,1014
1015,6,84,172,1015
1016,6,18,10,1016
1017,6,140,179,1017
1018,6,160,23,1018
1019,6,80,60,1019
1020,6,168,42,1020
1021,6,71,47,1021
1022,6,138,34,1022
1023,6,92,178,1023
1024,6,8,114,1024
1025,6,127,162,1025
1026,6,82,154,1026
1027,6,172,124,1027
1028,6,57,35,1028
1029,6,130,56,1029
1030,6,11,55,1030
1031,6,167,70,1031
1032,6,190,109,1032
1033,6,144,145,1033
1034,6,143,199,1034
1035,6,115,25,1035
1036,6,105,199,1036
1037,6,75,179,1037
1038,6,62,14,1038
1039,6,131,56,1039
1040,6,39,153,1040
1041,6,200,132,1041
1042,6,21,134,1042
1043,6,9,193,1043
1044,6,147,73,1044
1045,6,36,169,1045
1046,6,126,106,1046
1047,6,8,17,1047
1048,6,3,73,1048
1049,6,29,2,1049
1050,6,95,141,1050
1051,6,198,7,1051
1052,6,81,27,1052
1053,6,32,76,1053
1054,6,47,12,1054
1055,6,133,166,1055
1056,6,129,36,1056
1057,6,123,28,1057
1058,6,114,23,1058
1059,6,171,93,1059
1060,6,168,28,1060
1061,6,131,193,1061
1062,6,80,170,1062
1063,6,125,64,1063
1064,6,121,44,1064
1065,6,119,73,1065
1066,6,168,112,1066
1067,6,180,84,1067
1068,6,90,65,1068
1069,6,194,170,1069
1070,6,134,193,1070
1071,6,52,68,1071
1072,6,3,75,1072
1073,6,28,113,1073
1074,6,157,161,1074
1075,6,170,33,1075
1076,6,172,183,1076
1077,6,97,50,1077
1078,6,68,71,1078
1079,6,8,141,1079
1080,6,10,161,1080
1081,6,176,148,1081
1082,6,186,164,1082
1083,6,2,159,1083
1084,6,12,131,1084
1085,6,148,58,1085
1086,6,114,4,1086
1087,6,127,185,1087
1088,6,186,122,1088
1089,6,48,64,1089
1090,6,186,94,1090
1091,6,81,184,1091
1092,6,28,79,1092
1093,6,94,168,1093
1094,6,128,6,1094
1095,6,132,133,1095
1096,6,11,136,1096
1097,6,16,6,1097
1098,6,89,1,1098
1099,6,74,36,1099
1100,6,64,102,1100
1101,6,146,195,1101
1102,6,37,23,1102
1103,6,179,62,1103
1104,6,40,183,1104
1105,11,23,111,1105
1106,11,153,156,1106
1107,11,112,110,1107
1108,11,61,195,1108
1109,11,96,146,1109
1110,11,98,189,1110
1111,11,161,53,1111
1112,11,172,26,1112
1113,11,128,88,1113
1114,11,68,198,1114
1115,11,74,118,1115
1116,11,46,14,1116
1117,11,70,53,1117
1118,11,26,103,1118
1119,11,149,172,1119
1120,11,28,77,1120
1121,11,57,168,1121
1122,11,137,53,1122
1123,11,45,58,1123
1124,11,132,200,1124
1125,11,95,145,1125
1126,11,115,11,1126
1127,11,41,198,1127
1128,11,163,107,1128
1129,11,190,23,1129
1130,11,70,84,1130
1131,11,46,15,1131
1132,11,85,190,1132
1133,11,106,66,1133
1134,11,100,94,1134
1135,11,173,158,1135
1136,11,93,46,1136
1137,11,18,79,1137
1138,11,178,162,1138
1139,11,28,17,1139
1140,11,63,73,1140
1141,11,87,108,1141
1142,11,186,51,1142
1143,11,85,9,1143
1144,11,151,140,1144
1145,11,188,112,1145
1146,11,199,182,1146
1147,11,123,179,1147
1148,11,166,82,1148
1149,11,60,55,1149
1150,11,103,56,1150
1151,11,90,22,1151
1152,11,60,5,1152
1153,11,96,63,1153
1154,11,57,43,1154
1155,11,47,41,1155
1156,11,110,198,1156
1157,11,130,112,1157
1158,11,101,11,1158
1159,11,136,109,1159
1160,11,145,140,1160
1161,11,30,58,1161
1162,11,83,110,1162
1163,11,157,45,1163
1164,11,167,143,1164
1165,11,188,25,1165
1166,11,42,46,1166
1167,11,101,150,1167
1168,11,152,151,1168
1169,11,114,61,1169
1170,11,90,59,1170
1171,11,145,144,1171
1172,11,178,136,1172
1173,11,180,143,1173
1174,11,16,95,1174
1175,11,132,46,1175
1176,11,115,140,1176
1177,11,174,58,1177
1178,11,137,47,1178
1179,11,170,197,1179
1180,11,81,16,1180
1181,11,58,48,1181
1182,11,128,8,1182
1183,11,52,83,1183
1184,11,131,10,1184
1185,11,78,91,1185
1186,11,73,199,1186
1187,11,119,50,1187
1188,11,75,162,1188
1189,11,2,3,1189
1190,11,186,118,1190
1191,11,147,11,1191
1192,11,179,52,1192
1193,11,143,144,1193
1194,11,1,48,1194
1195,11,104,40,1195
1196,11,136,153,1196
1197,11,140,124,1197
1198,11,31,30,1198
1199,11,64,127,1199
1200,11,157,39,1200
1201,11,92,103,1201
1202,11,45,24,1202
1203,11,164,126,1203
1204,11,124,80,1204
1205,11,56,51,1205
1206,11,155,47,1206
1207,11,27,67,1207
1208,11,158,128,1208
1209,11,45,81,1209
1210,11,62,133,1210
1211,11,200,101,1211
1212,11,106,149,1212
1213,11,10,114,1213
1214,11,32,98,1214
1215,11,2,103,1215
1216,11,66,67,1216
1217,11,113,43,1217
1218,11,188,14,1218
1219,11,200,167,1219
1220,11,5,7,1220
1221,11,58,62,1221
1222,11,108,87,1222
1223,11,116,149,1223
1224,11,198,117,1224
1225,11,200,115,1225
1226,11,155,24,1226
1227,11,84,37,1227
1228,11,124,103,1228
1229,11,97,62,1229
1230,11,192,31,1230
1231,11,73,145,1231
1232,11,164,92,1232
1233,11,64,14,1233
1234,11,163,28,1234
1235,11,140,151,1235
1236,11,152,37,1236
1237,11,124,125,1237
1238,11,74,194,1238
1239,11,159,173,1239
1240,11,171,19,1240
1241,11,158,80,1241
1242,11,153,51,1242
1243,11,58,61,1243
1244,11,85,100,1244
1245,11,39,186,1245
1246,11,22,100,1246
1247,11,76,29,1247
1248,11,50,123,1248
1249,11,192,50,1249
1250,11,168,173,1250
1251,11,43,69,1251
1252,11,189,64,1252
1253,11,175,64,1253
1254,11,88,124,1254
1255,11,110,125,1255
1256,11,134,139,1256
1257,11,28,155,1257
1258,11,130,112,1258
1259,11,121,89,1259
1260,11,135,116,1260
1261,11,178,57,1261
1262,11,162,38,1262
1263,11,175,151,1263
1264,11,149,166,1264
1265,11,180,182,1265
1266,11,40,187,1266
1267,11,14,107,1267
1268,11,113,96,1268
1269,11,135,90,1269
1270,11,13,123,1270
1271,11,115,48,1271
1272,11,166,138,1272
1273,8,196,175,1273
1274,8,15,198,1274
1275,8,190,99,1275
1276,8,175,47,1276
1277,8,70,53,1277
1278,8,165,123,1278
1279,8,127,47,1279
1280,8,68,63,1280
1281,8,112,120,1281
1282,8,78,25,1282
1283,8,175,107,1283
1284,8,118,123,1284
1285,8,193,181,1285
1286,8,117,142,1286
1287,8,188,14,1287
1288,8,71,178,1288
1289,8,155,197,1289
1290,8,18,173,1290
1291,8,35,7,1291
1292,8,38,159,1292
1293,8,132,186,1293
1294,8,93,63,1294
1295,8,32,149,1295
1296,8,73,76,1296
1297,8,181,30,1297
1298,8,109,164,1298
1299,8,198,186,1299
1300,8,172,70,1300
1301,8,43,95,1301
1302,8,105,100,1302
1303,8,75,193,1303
1304,8,49,69,1304
1305,8,128,23,1305
1306,8,150,118,1306
1307,8,40,159,1307
1308,8,74,61,1308
1309,8,104,19,1309
1310,8,17,151,1310
1311,8,131,86,1311
1312,8,183,118,1312
1313,8,59,121,1313
1314,8,75,109,1314
1315,8,102,29,1315
1316,8,25,122,1316
1317,8,5,102,1317
1318,8,109,69,1318
1319,8,9,114,1319
1320,8,41,114,1320
1321,8,196,172,1321
1322,8,114,138,1322
1323,8,59,145,1323
1324,8,25,100,1324
1325,8,42,156,1325
1326,8,117,13,1326
1327,8,143,25,1327
1328,8,185,134,1328
