c_carid,c_model,c_make,c_year,c_color,c_engine,c_transmission,c_class,c_tint,c_convertible,c_carbonPackage
34,LFA,LEXUS,2012,YELLOW,V8,6-SPEED-AUTOMATIC,SPORT,YES,NO,YES
35,LFA,LEXUS,2012,GREEN,V8,6-SPEED-AUTOMATIC,SPORT,YES,NO,YES
36,LFA,LEXUS,2012,WHITE,V8,6-SPEED-MANUEL,SPORT,YES,NO,YES
37,LFA,LEXUS,2012,BLACK,V8,6-SPEED-MANUEL,SPORT,YES,NO,YES
38,LFA,LEXUS,2012,RED,V8,6-SPEED-MANUEL,SPORT,YES,NO,YES
39,LFA,LEXUS,2012,BLUE,V8,6-SPEED-MANUEL,SPORT,YES,NO,YES
40,LFA,LEXUS,2012,GREY,V8,6-SPEED-MANUEL,SPORT,YES,NO,YES
41,LFA,LEXUS,2012,YELLOW,V8,6-SPEED-MANUEL,SPORT,YES,NO,YES
42,LFA,LEXUS,2012,GREEN,V8,6-SPEED-MANUEL,SPORT,YES,NO,YES
43,LFA,LEXUS,2012,WHITE,V6,6-SPEED-AUTOMATIC,SPORT,YES,NO,YES
44,LFA,LEXUS,2012,BLACK,V6,6-SPEED-AUTOMATIC,SPORT,YES,NO,YES
45,LFA,LEXUS,2012,RED,V6,6-SPEED-AUTOMATIC,SPORT,YES,NO,YES
46,LFA,LEXUS,2012,BLUE,V6,6-SPEED-AUTOMATIC,SPORT,YES,NO,YES
47,LFA,LEXUS,2012,GREY,V6,6-SPEED-AUTOMATIC,SPORT,YES,NO,YES
48,LFA,LEXUS,2012,YELLOW,V6,6-SPEED-AUTOMATIC,SPORT,YES,NO,YES
49,LFA,LEXUS,2012,GREEN,V6,6-SPEED-AUTOMATIC,SPORT,YES,NO,YES
50,LFA,LEXUS,2012,WHITE,V6,6-SPEED-MANUEL,SPORT,YES,NO,YES
51,LFA,LEXUS,2012,BLACK,V6,6-SPEED-MANUEL,SPORT,YES,NO,YES
52,LFA,LEXUS,2012,RED,V6,6-SPEED-MANUEL,SPORT,YES,NO,YES
53,LFA,LEXUS,2012,BLUE,V6,6-SPEED-MANUEL,SPORT,YES,NO,YES
54,LFA,LEXUS,2012,GREY,V6,6-SPEED-MANUEL,SPORT,YES,NO,YES
55,LFA,LEXUS,2012,YELLOW,V6,6-SPEED-MANUEL,SPORT,YES,NO,YES
56,LFA,LEXUS,2012,GREEN,V6,6-SPEED-MANUEL,SPORT,YES,NO,YES
57,P1,MCLAREN,2013,WHITE,V8,7-SPEED-AUTOMATIC,HYPER,NO,NO,YES
58,P1,MCLAREN,2013,BLACK,V8,7-SPEED-AUTOMATIC,HYPER,NO,NO,YES
59,P1,MCLAREN,2013,RED,V8,7-SPEED-AUTOMATIC,HYPER,NO,NO,YES
60,P1,MCLAREN,2013,BLUE,V8,7-SPEED-AUTOMATIC,HYPER,NO,NO,YES
61,P1,MCLAREN,2013,GREY,V8,7-SPEED-AUTOMATIC,HYPER,NO,NO,YES
62,P1,MCLAREN,2013,YELLOW,V8,7-SPEED-AUTOMATIC,HYPER,NO,NO,YES
63,P1,MCLAREN,2013,GREEN,V8,7-SPEED-AUTOMATIC,HYPER,NO,NO,YES
64,P1,MCLAREN,2013,WHITE,V8,7-SPEED-MANUEL,HYPER,NO,NO,YES
65,P1,MCLAREN,2013,BLACK,V8,7-SPEED-MANUEL,HYPER,NO,NO,YES
66,P1,MCLAREN,2013,RED,V8,7-SPEED-MANUEL,HYPER,NO,NO,YES
67,P1,MCLAREN,2013,BLUE,V8,7-SPEED-MANUEL,HYPER,NO,NO,YES
68,P1,MCLAREN,2013,GREY,V8,7-SPEED-MANUEL,HYPER,NO,NO,YES
69,P1,MCLAREN,2013,YELLOW,V8,7-SPEED-MANUEL,HYPER,NO,NO,YES
70,P1,MCLAREN,2013,GREEN,V8,7-SPEED-MANUEL,HYPER,NO,NO,YES
71,P1,MCLAREN,2013,WHITE,V8,7-SPEED-AUTOMATIC,HYPER,YES,NO,YES
72,P1,MCLAREN,2013,BLACK,V8,7-SPEED-AUTOMATIC,HYPER,YES,NO,YES
73,P1,MCLAREN,2013,RED,V8,7-SPEED-AUTOMATIC,HYPER,YES,NO,YES
74,P1,MCLAREN,2013,BLUE,V8,7-SPEED-AUTOMATIC,HYPER,YES,NO,YES
75,P1,MCLAREN,2013,GREY,V8,7-SPEED-AUTOMATIC,HYPER,YES,NO,YES
76,P1,MCLAREN,2013,YELLOW,V8,7-SPEED-AUTOMATIC,HYPER,YES,NO,YES
77,P1,MCLAREN,2013,GREEN,V8,7-SPEED-AUTOMATIC,HYPER,YES,NO,YES
78,P1,MCLAREN,2013,WHITE,V8,7-SPEED-MANUEL,HYPER,YES,NO,YES
79,P1,MCLAREN,2013,BLACK,V8,7-SPEED-MANUEL,HYPER,YES,NO,YES
80,P1,MCLAREN,2013,RED,V8,7-SPEED-MANUEL,HYPER,YES,NO,YES
81,P1,MCLAREN,2013,BLUE,V8,7-SPEED-MANUEL,HYPER,YES,NO,YES
82,P1,MCLAREN,2013,GREY,V8,7-SPEED-MANUEL,HYPER,YES,NO,YES
83,P1,MCLAREN,2013,YELLOW,V8,7-SPEED-MANUEL,HYPER,YES,NO,YES
84,P1,MCLAREN,2013,GREEN,V8,7-SPEED-MANUEL,HYPER,YES,NO,YES
85,WRX-STI,SUBARU,2016,WHITE,I4,6-SPEED-AUTOMATIC,COMPACT,NO,NO,YES
86,WRX-STI,SUBARU,2016,BLACK,I4,6-SPEED-AUTOMATIC,COMPACT,NO,NO,YES
87,WRX-STI,SUBARU,2016,RED,I4,6-SPEED-AUTOMATIC,COMPACT,NO,NO,YES
88,WRX-STI,SUBARU,2016,BLUE,I4,6-SPEED-AUTOMATIC,COMPACT,NO,NO,YES
89,WRX-STI,SUBARU,2016,GREY,I4,6-SPEED-AUTOMATIC,COMPACT,NO,NO,YES
90,WRX-STI,SUBARU,2016,YELLOW,I4,6-SPEED-AUTOMATIC,COMPACT,NO,NO,YES
91,WRX-STI,SUBARU,2016,GREEN,I4,6-SPEED-AUTOMATIC,COMPACT,NO,NO,YES
92,WRX-STI,SUBARU,2016,WHITE,I4,6-SPEED-MANUEL,COMPACT,NO,NO,YES
93,WRX-STI,SUBARU,2016,BLACK,I4,6-SPEED-MANUEL,COMPACT,NO,NO,YES
94,WRX-STI,SUBARU,2016,RED,I4,6-SPEED-MANUEL,COMPACT,NO,NO,YES
95,WRX-STI,SUBARU,2016,BLUE,I4,6-SPEED-MANUEL,COMPACT,NO,NO,YES
96,WRX-STI,SUBARU,2016,GREY,I4,6-SPEED-MANUEL,COMPACT,NO,NO,YES
97,WRX-STI,SUBARU,2016,YELLOW,I4,6-SPEED-MANUEL,COMPACT,NO,NO,YES
98,WRX-STI,SUBARU,2016,GREEN,I4,6-SPEED-MANUEL,COMPACT,NO,NO,YES
99,WRX-STI,SUBARU,2016,WHITE,I4,6-SPEED-AUTOMATIC,COMPACT,YES,NO,YES
100,WRX-STI,SUBARU,2016,BLACK,I4,6-SPEED-AUTOMATIC,COMPACT,YES,NO,YES
101,WRX-STI,SUBARU,2016,RED,I4,6-SPEED-AUTOMATIC,COMPACT,YES,NO,YES
102,WRX-STI,SUBARU,2016,BLUE,I4,6-SPEED-AUTOMATIC,COMPACT,YES,NO,YES
103,WRX-STI,SUBARU,2016,GREY,I4,6-SPEED-AUTOMATIC,COMPACT,YES,NO,YES
104,WRX-STI,SUBARU,2016,YELLOW,I4,6-SPEED-AUTOMATIC,COMPACT,YES,NO,YES
105,WRX-STI,SUBARU,2016,GREEN,I4,6-SPEED-AUTOMATIC,COMPACT,YES,NO,YES
106,WRX-STI,SUBARU,2016,WHITE,I4,6-SPEED-MANUEL,COMPACT,YES,NO,YES
107,WRX-STI,SUBARU,2016,BLACK,I4,6-SPEED-MANUEL,COMPACT,YES,NO,YES
108,WRX-STI,SUBARU,2016,RED,I4,6-SPEED-MANUEL,COMPACT,YES,NO,YES
109,WRX-STI,SUBARU,2016,BLUE,I4,6-SPEED-MANUEL,COMPACT,YES,NO,YES
110,WRX-STI,SUBARU,2016,GREY,I4,6-SPEED-MANUEL,COMPACT,YES,NO,YES
111,WRX-STI,SUBARU,2016,YELLOW,I4,6-SPEED-MANUEL,COMPACT,YES,NO,YES
112,WRX-STI,SUBARU,2016,GREEN,I4,6-SPEED-MANUEL,COMPACT,YES,NO,YES
113,CAMARY ,TOYOTA,2022,WHITE,I4,8-SPEED-AUTOMATIC,MID-SIZE,NO,NO,YES
114,CAMARY ,TOYOTA,2022,BLACK,I4,8-SPEED-AUTOMATIC,MID-SIZE,NO,NO,YES
115,CAMARY ,TOYOTA,2022,RED,I4,8-SPEED-AUTOMATIC,MID-SIZE,NO,NO,YES
116,CAMARY ,TOYOTA,2022,BLUE,I4,8-SPEED-AUTOMATIC ,MID-SIZE,NO,NO,YES
117,CAMARY ,TOYOTA,2022,GREY,I4,8-SPEED-AUTOMATIC,MID-SIZE,NO,NO,YES
118,CAMARY ,TOYOTA,2022,YELLOW,I4,8-SPEED-AUTOMATIC,MID-SIZE,NO,NO,YES
119,CAMARY ,TOYOTA,2022,GREEN,I4,8-SPEED-AUTOMATIC,MID-SIZE,NO,NO,YES
120,CAMARY ,TOYOTA,2022,WHITE,I4,8-SPEED-MANUEL,MID-SIZE,NO,NO,YES
121,CAMARY ,TOYOTA,2022,BLACK,I4,8-SPEED-MANUEL,MID-SIZE,NO,NO,YES
122,CAMARY ,TOYOTA,2022,RED,I4,8-SPEED-MANUEL,MID-SIZE,NO,NO,YES
123,CAMARY ,TOYOTA,2022,BLUE,I4,8-SPEED-MANUEL,MID-SIZE,NO,NO,YES
124,CAMARY ,TOYOTA,2022,GREY,I4,8-SPEED-MANUEL,MID-SIZE,NO,NO,YES
125,CAMARY ,TOYOTA,2022,YELLOW,I4,8-SPEED-MANUEL,MID-SIZE,NO,NO,YES
126,CAMARY ,TOYOTA,2022,GREEN,I4,8-SPEED-MANUEL,MID-SIZE,NO,NO,YES
127,CAMARY ,TOYOTA,2022,WHITE,V6,8-SPEED-AUTOMATIC,MID-SIZE,NO,NO,YES
128,CAMARY ,TOYOTA,2022,BLACK,V6,8-SPEED-AUTOMATIC,MID-SIZE,NO,NO,YES
129,CAMARY ,TOYOTA,2022,RED,V6,8-SPEED-AUTOMATIC,MID-SIZE,NO,NO,YES
130,CAMARY ,TOYOTA,2022,BLUE,V6,8-SPEED-AUTOMATIC ,MID-SIZE,NO,NO,YES
131,CAMARY ,TOYOTA,2022,GREY,V6,8-SPEED-AUTOMATIC,MID-SIZE,NO,NO,YES
132,CAMARY ,TOYOTA,2022,YELLOW,V6,8-SPEED-AUTOMATIC,MID-SIZE,NO,NO,YES
133,CAMARY ,TOYOTA,2022,GREEN,V6,8-SPEED-AUTOMATIC,MID-SIZE,NO,NO,YES
134,CAMARY ,TOYOTA,2022,WHITE,V6,8-SPEED-MANUEL,MID-SIZE,NO,NO,YES
135,CAMARY ,TOYOTA,2022,BLACK,V6,8-SPEED-MANUEL,MID-SIZE,NO,NO,YES
136,CAMARY ,TOYOTA,2022,RED,V6,8-SPEED-MANUEL,MID-SIZE,NO,NO,YES
137,CAMARY ,TOYOTA,2022,BLUE,V6,8-SPEED-MANUEL,MID-SIZE,NO,NO,YES
138,CAMARY ,TOYOTA,2022,GREY,V6,8-SPEED-MANUEL,MID-SIZE,NO,NO,YES
139,CAMARY ,TOYOTA,2022,YELLOW,V6,8-SPEED-MANUEL,MID-SIZE,NO,NO,YES
140,CAMARY ,TOYOTA,2022,GREEN,V6,8-SPEED-MANUEL,MID-SIZE,NO,NO,YES
141,CAMARY ,TOYOTA,2022,WHITE,I4,8-SPEED-AUTOMATIC,MID-SIZE,YES,NO,YES
142,CAMARY ,TOYOTA,2022,BLACK,I4,8-SPEED-AUTOMATIC,MID-SIZE,YES,NO,YES
143,CAMARY ,TOYOTA,2022,RED,I4,8-SPEED-AUTOMATIC,MID-SIZE,YES,NO,YES
144,CAMARY ,TOYOTA,2022,BLUE,I4,8-SPEED-AUTOMATIC ,MID-SIZE,YES,NO,YES
145,CAMARY ,TOYOTA,2022,GREY,I4,8-SPEED-AUTOMATIC,MID-SIZE,YES,NO,YES
146,CAMARY ,TOYOTA,2022,YELLOW,I4,8-SPEED-AUTOMATIC,MID-SIZE,YES,NO,YES
147,CAMARY ,TOYOTA,2022,GREEN,I4,8-SPEED-AUTOMATIC,MID-SIZE,YES,NO,YES
148,CAMARY ,TOYOTA,2022,WHITE,I4,8-SPEED-MANUEL,MID-SIZE,YES,NO,YES
149,CAMARY ,TOYOTA,2022,BLACK,I4,8-SPEED-MANUEL,MID-SIZE,YES,NO,YES
150,CAMARY ,TOYOTA,2022,RED,I4,8-SPEED-MANUEL,MID-SIZE,YES,NO,YES
151,CAMARY ,TOYOTA,2022,BLUE,I4,8-SPEED-MANUEL,MID-SIZE,YES,NO,YES
152,CAMARY ,TOYOTA,2022,GREY,I4,8-SPEED-MANUEL,MID-SIZE,YES,NO,YES
153,CAMARY ,TOYOTA,2022,YELLOW,I4,8-SPEED-MANUEL,MID-SIZE,YES,NO,YES
154,CAMARY ,TOYOTA,2022,GREEN,I4,8-SPEED-MANUEL,MID-SIZE,YES,NO,YES
155,CAMARY ,TOYOTA,2022,WHITE,V6,8-SPEED-AUTOMATIC,MID-SIZE,YES,NO,YES
156,CAMARY ,TOYOTA,2022,BLACK,V6,8-SPEED-AUTOMATIC,MID-SIZE,YES,NO,YES
157,CAMARY ,TOYOTA,2022,RED,V6,8-SPEED-AUTOMATIC,MID-SIZE,YES,NO,YES
158,CAMARY ,TOYOTA,2022,BLUE,V6,8-SPEED-AUTOMATIC ,MID-SIZE,YES,NO,YES
159,CAMARY ,TOYOTA,2022,GREY,V6,8-SPEED-AUTOMATIC,MID-SIZE,YES,NO,YES
160,CAMARY ,TOYOTA,2022,YELLOW,V6,8-SPEED-AUTOMATIC,MID-SIZE,YES,NO,YES
161,CAMARY ,TOYOTA,2022,GREEN,V6,8-SPEED-AUTOMATIC,MID-SIZE,YES,NO,YES
162,CAMARY ,TOYOTA,2022,WHITE,V6,8-SPEED-MANUEL,MID-SIZE,YES,NO,YES
163,CAMARY ,TOYOTA,2022,BLACK,V6,8-SPEED-MANUEL,MID-SIZE,YES,NO,YES
164,CAMARY ,TOYOTA,2022,RED,V6,8-SPEED-MANUEL,MID-SIZE,YES,NO,YES
165,CAMARY ,TOYOTA,2022,BLUE,V6,8-SPEED-MANUEL,MID-SIZE,YES,NO,YES
166,CAMARY ,TOYOTA,2022,GREY,V6,8-SPEED-MANUEL,MID-SIZE,YES,NO,YES
167,CAMARY ,TOYOTA,2022,YELLOW,V6,8-SPEED-MANUEL,MID-SIZE,YES,NO,YES
168,CAMARY ,TOYOTA,2022,GREEN,V6,8-SPEED-MANUEL,MID-SIZE,YES,NO,YES
169,SUPRA ,TOYOTA,2000,WHITE,I6,5-SPEED-MANUEL,SPORTS,YES ,NO,YES
170,SUPRA ,TOYOTA,2000,BLACK,I6,5-SPEED-MANUEL,SPORTS,YES ,NO,YES
171,SUPRA ,TOYOTA,2000,RED,I6,5-SPEED-MANUEL,SPORTS,YES ,NO,YES
172,SUPRA ,TOYOTA,2000,BLUE,I6,5-SPEED-MANUEL,SPORTS,YES ,NO,YES
173,SUPRA ,TOYOTA,2000,GREY,I6,5-SPEED-MANUEL,SPORTS,YES ,NO,YES
174,SUPRA ,TOYOTA,2000,YELLOW,I6,5-SPEED-MANUEL,SPORTS,YES ,NO,YES
175,SUPRA ,TOYOTA,2000,GREEN,I6,5-SPEED-MANUEL,SPORTS,YES ,NO,YES
176,SUPRA ,TOYOTA,2000,WHITE,I6,5-SPEED-MANUEL,SPORTS,NO,NO,YES
177,SUPRA ,TOYOTA,2000,BLACK,I6,5-SPEED-MANUEL,SPORTS,NO,NO,YES
178,SUPRA ,TOYOTA,2000,RED,I6,5-SPEED-MANUEL,SPORTS,NO,NO,YES
179,SUPRA ,TOYOTA,2000,BLUE,I6,5-SPEED-MANUEL,SPORTS,NO,NO,YES
180,SUPRA ,TOYOTA,2000,GREY,I6,5-SPEED-MANUEL,SPORTS,NO,NO,YES
181,SUPRA ,TOYOTA,2000,YELLOW,I6,5-SPEED-MANUEL,SPORTS,NO,NO,YES
182,SUPRA ,TOYOTA,2000,GREEN,I6,5-SPEED-MANUEL,SPORTS,NO,NO,YES
183,SUPRA ,TOYOTA,2000,WHITE,I6,4-SPEED-AUTOMATIC,SPORTS,YES ,NO,YES
184,SUPRA ,TOYOTA,2000,BLACK,I6,4-SPEED-AUTOMATIC,SPORTS,YES ,NO,YES
185,SUPRA ,TOYOTA,2000,RED,I6,4-SPEED-AUTOMATIC,SPORTS,YES ,NO,YES
186,SUPRA ,TOYOTA,2000,BLUE,I6,4-SPEED-AUTOMATIC,SPORTS,YES ,NO,YES
187,SUPRA ,TOYOTA,2000,GREY,I6,4-SPEED-AUTOMATIC,SPORTS,YES ,NO,YES
188,SUPRA ,TOYOTA,2000,YELLOW,I6,4-SPEED-AUTOMATIC,SPORTS,YES ,NO,YES
189,SUPRA ,TOYOTA,2000,GREEN,I6,4-SPEED-AUTOMATIC,SPORTS,YES ,NO,YES
190,SUPRA ,TOYOTA,2000,WHITE,I6,4-SPEED-AUTOMATIC,SPORTS,NO,NO,YES
191,SUPRA ,TOYOTA,2000,BLACK,I6,4-SPEED-AUTOMATIC,SPORTS,NO,NO,YES
192,SUPRA ,TOYOTA,2000,RED,I6,4-SPEED-AUTOMATIC,SPORTS,NO,NO,YES
193,SUPRA ,TOYOTA,2000,BLUE,I6,4-SPEED-AUTOMATIC,SPORTS,NO,NO,YES
194,SUPRA ,TOYOTA,2000,GREY,I6,4-SPEED-AUTOMATIC,SPORTS,NO,NO,YES
195,SUPRA ,TOYOTA,2000,YELLOW,I6,4-SPEED-AUTOMATIC,SPORTS,NO,NO,YES
196,SUPRA ,TOYOTA,2000,GREEN,I6,4-SPEED-AUTOMATIC,SPORTS,NO,NO,YES
197,GTR-R34,NISSAN,2000,WHITE,I6,6-SPEED-MANUEL,SPORTS,YES,NO,YES
198,GTR-R34,NISSAN,2000,BLACK,I6,6-SPEED-MANUEL,SPORTS,YES,NO,YES
199,GTR-R34,NISSAN,2000,RED,I6,6-SPEED-MANUEL,SPORTS,YES,NO,YES
200,GTR-R34,NISSAN,2000,BLUE,I6,6-SPEED-MANUEL,SPORTS,YES,NO,YES
201,GTR-R34,NISSAN,2000,GREY,I6,6-SPEED-MANUEL,SPORTS,YES,NO,YES
202,GTR-R34,NISSAN,2000,YELLOW,I6,6-SPEED-MANUEL,SPORTS,YES,NO,YES
203,GTR-R34,NISSAN,2000,GREEN,I6,6-SPEED-MANUEL,SPORTS,YES,NO,YES
204,GTR-R34,NISSAN,2000,WHITE,I6,6-SPEED-MANUEL,SPORTS,NO,NO,YES
205,GTR-R34,NISSAN,2000,BLACK,I6,6-SPEED-MANUEL,SPORTS,NO,NO,YES
206,GTR-R34,NISSAN,2000,RED,I6,6-SPEED-MANUEL,SPORTS,NO,NO,YES
207,GTR-R34,NISSAN,2000,BLUE,I6,6-SPEED-MANUEL,SPORTS,NO,NO,YES
208,GTR-R34,NISSAN,2000,GREY,I6,6-SPEED-MANUEL,SPORTS,NO,NO,YES
209,GTR-R34,NISSAN,2000,YELLOW,I6,6-SPEED-MANUEL,SPORTS,NO,NO,YES
210,GTR-R34,NISSAN,2000,GREEN,I6,6-SPEED-MANUEL,SPORTS,NO,NO,YES
211,NSX,ACURA ,2022,WHITE,I6,9-SPEED-AUTOMATIC,SUPER,YES,NO,YES
212,NSX,ACURA ,2022,BLACK,I6,9-SPEED-AUTOMATIC,SUPER,YES,NO,YES
213,NSX,ACURA ,2022,RED,I6,9-SPEED-AUTOMATIC,SUPER,YES,NO,YES
214,NSX,ACURA ,2022,BLUE,I6,9-SPEED-AUTOMATIC,SUPER,YES,NO,YES
215,NSX,ACURA ,2022,GREY,I6,9-SPEED-AUTOMATIC,SUPER,YES,NO,YES
216,NSX,ACURA ,2022,YELLOW,I6,9-SPEED-AUTOMATIC,SUPER,YES,NO,YES
217,NSX,ACURA ,2022,GREEN,I6,9-SPEED-AUTOMATIC,SUPER,YES,NO,YES
218,NSX,ACURA ,2022,WHITE,I6,9-SPEED-AUTOMATIC,SUPER,NO,NO,YES
219,NSX,ACURA ,2022,BLACK,I6,9-SPEED-AUTOMATIC,SUPER,NO,NO,YES
220,NSX,ACURA ,2022,RED,I6,9-SPEED-AUTOMATIC,SUPER,NO,NO,YES
221,NSX,ACURA ,2022,BLUE,I6,9-SPEED-AUTOMATIC,SUPER,NO,NO,YES
222,NSX,ACURA ,2022,GREY,I6,9-SPEED-AUTOMATIC,SUPER,NO,NO,YES
223,NSX,ACURA ,2022,YELLOW,I6,9-SPEED-AUTOMATIC,SUPER,NO,NO,YES
224,NSX,ACURA ,2022,GREEN,I6,9-SPEED-AUTOMATIC,SUPER,NO,NO,YES
225,GT40,FORD,1965,WHITE,V8,5-SPEED-MANUEL,SUPER,YES,NO,YES
226,GT40,FORD,1965,BLACK,V8,5-SPEED-MANUEL,SUPER,YES,NO,YES
227,GT40,FORD,1965,RED,V8,5-SPEED-MANUEL,SUPER,YES,NO,YES
228,GT40,FORD,1965,BLUE,V8,5-SPEED-MANUEL,SUPER,YES,NO,YES
229,GT40,FORD,1965,GREY,V8,5-SPEED-MANUEL,SUPER,YES,NO,YES
230,GT40,FORD,1965,YELLOW,V8,5-SPEED-MANUEL,SUPER,YES,NO,YES
231,GT40,FORD,1965,GREEN,V8,5-SPEED-MANUEL,SUPER,YES,NO,YES
232,GT40,FORD,1965,WHITE,V8,5-SPEED-MANUEL,SUPER,NO,NO,YES
233,GT40,FORD,1965,BLACK,V8,5-SPEED-MANUEL,SUPER,NO,NO,YES
234,GT40,FORD,1965,RED,V8,5-SPEED-MANUEL,SUPER,NO,NO,YES
235,GT40,FORD,1965,BLUE,V8,5-SPEED-MANUEL,SUPER,NO,NO,YES
236,GT40,FORD,1965,GREY,V8,5-SPEED-MANUEL,SUPER,NO,NO,YES
237,GT40,FORD,1965,YELLOW,V8,5-SPEED-MANUEL,SUPER,NO,NO,YES
238,GT40,FORD,1965,GREEN,V8,5-SPEED-MANUEL,SUPER,NO,NO,YES
239,IS250,LEXUS,2021,WHITE,V8,6-SPEED-AUTOMATIC,SPORTS,YES,NO,YES
240,IS250,LEXUS,2021,BLACK,V8,6-SPEED-AUTOMATIC,SPORTS,YES,NO,YES
241,IS250,LEXUS,2021,RED,V8,6-SPEED-AUTOMATIC,SPORTS,YES,NO,YES
242,IS250,LEXUS,2021,BLUE,V8,6-SPEED-AUTOMATIC,SPORTS,YES,NO,YES
243,IS250,LEXUS,2021,GREY,V8,6-SPEED-AUTOMATIC,SPORTS,YES,NO,YES
244,IS250,LEXUS,2021,YELLOW,V8,6-SPEED-AUTOMATIC,SPORTS,YES,NO,YES
245,IS250,LEXUS,2021,GREEN,V8,6-SPEED-AUTOMATIC,SPORTS,YES,NO,YES
246,IS250,LEXUS,2021,WHITE,V8,6-SPEED-AUTOMATIC,SPORTS,NO,NO,YES
247,IS250,LEXUS,2021,BLACK,V8,6-SPEED-AUTOMATIC,SPORTS,NO,NO,YES
248,IS250,LEXUS,2021,RED,V8,6-SPEED-AUTOMATIC,SPORTS,NO,NO,YES
249,IS250,LEXUS,2021,BLUE,V8,6-SPEED-AUTOMATIC,SPORTS,NO,NO,YES
250,IS250,LEXUS,2021,GREY,V8,6-SPEED-AUTOMATIC,SPORTS,NO,NO,YES
251,IS250,LEXUS,2021,YELLOW,V8,6-SPEED-AUTOMATIC,SPORTS,NO,NO,YES
252,IS250,LEXUS,2021,GREEN,V8,6-SPEED-AUTOMATIC,SPORTS,NO,NO,YES
253,IS250,LEXUS,2021,WHITE,V8,6-SPEED-MANUEL,SPORTS,YES,NO,YES
254,IS250,LEXUS,2021,BLACK,V8,6-SPEED-MANUEL,SPORTS,YES,NO,YES
255,IS250,LEXUS,2021,RED,V8,6-SPEED-MANUEL,SPORTS,YES,NO,YES
256,IS250,LEXUS,2021,BLUE,V8,6-SPEED-MANUEL,SPORTS,YES,NO,YES
257,IS250,LEXUS,2021,GREY,V8,6-SPEED-MANUEL,SPORTS,YES,NO,YES
